assists,boosts,headshotKills,heals,kills,longestKill,matchDuration,matchType,revives,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPlacePerc
1,1,0,10,0,0.0,1795,duo-fpp,0,0,0,1252.0,11,0.6596
0,0,0,0,0,0.0,1884,solo-fpp,0,0,0,20.94,0,0.0549
0,0,0,0,0,0.0,1364,solo-fpp,0,0,0,30.73,0,0.0706
0,3,0,1,1,17.24,1369,squad-fpp,0,0,0,2946.0,7,0.9259
0,0,0,0,0,0.0,1777,squad-fpp,0,0,0,319.8,1,0.1852
0,0,0,0,0,0.0,1822,duo,0,0,0,132.1,2,0.0682
0,0,0,1,0,0.0,1384,squad-fpp,0,0,0,2000.0,5,0.7143
0,0,0,0,0,0.0,1381,squad-fpp,0,0,0,485.6,3,0.3462
2,2,0,6,0,0.0,1389,squad,0,0,0,2026.0,4,0.75
0,0,0,0,2,7.98,1287,squad-fpp,0,0,0,438.9,2,0.3333
0,1,1,0,2,113.3,1811,duo-fpp,0,0,0,2193.0,4,0.6809
1,2,0,0,1,22.4,1865,squad-fpp,0,0,0,2824.0,7,0.88
0,2,0,1,1,21.42,1778,squad-fpp,0,0,0,993.6,7,0.5862
0,0,0,1,3,33.04,1388,duo-fpp,0,0,0,2507.0,5,1.0
1,2,0,4,0,0.0,1864,squad-fpp,1,0,0,4200.0,9,0.8889
0,0,0,0,0,0.0,1878,squad-fpp,0,0,0,122.8,2,0.2143
1,7,0,7,3,35.68,1382,squad,1,0,0,3341.0,4,0.913
0,0,0,0,0,0.0,1924,duo,0,0,0,178.6,3,0.1224
1,6,0,8,2,73.29,1374,squad-fpp,1,0,0,3326.0,8,0.9677
0,1,0,5,2,10.41,1920,squad,0,0,0,1193.0,3,0.3462
0,3,0,2,0,0.0,1368,squad-fpp,0,0,0,732.0,6,0.6429
0,1,0,1,0,0.0,1750,duo-fpp,0,0,0,513.8,3,0.3023
0,0,0,0,1,68.18,1836,squad-fpp,0,0,0,146.1,1,0.1034
0,0,0,0,1,48.36,1926,solo-fpp,0,0,0,28.23,1,0.0323
1,5,0,3,0,0.0,1414,squad-fpp,0,0,0,2719.0,3,0.8929
0,0,0,0,0,0.0,1384,squad-fpp,0,0,0,156.9,3,0.4815
0,0,0,0,0,0.0,1307,duo-fpp,0,0,0,38.42,2,0.1042
0,0,0,1,0,0.0,1718,squad-fpp,0,0,0,44.91,2,0.0385
0,2,0,0,0,0.0,1881,duo-fpp,0,0,0,4053.0,4,0.8542
0,1,0,2,0,0.0,1380,squad-fpp,0,0,0,1812.0,6,0.75
1,1,0,0,0,0.0,1726,squad-fpp,0,0,0,1384.0,5,0.5652
0,5,1,5,8,73.78,1454,duo-fpp,1,0,0,1482.0,5,0.8125
0,2,2,5,5,80.48,1939,duo,0,0,0,3038.0,8,0.8261
0,0,0,0,0,0.0,1322,squad-fpp,0,0,0,476.6,3,0.56
0,0,0,0,0,0.0,1404,squad-fpp,0,0,0,263.1,3,0.2857
0,0,0,0,0,0.0,1457,duo,0,0,0,1506.0,6,0.625
0,0,0,0,0,0.0,1379,squad,0,0,0,339.6,6,0.3793
1,3,0,6,1,1.401,1372,solo,0,0,0,2955.0,6,0.9684
1,2,0,4,0,0.0,1820,squad-fpp,0,0,0,3982.0,6,0.7692
0,4,0,0,0,0.0,1432,duo-fpp,0,0,0,1515.0,4,0.551
0,2,0,1,1,4.19,1445,solo,0,0,0,391.2,3,0.5
0,0,0,0,0,0.0,1788,squad-fpp,0,0,0,477.9,3,0.3077
0,0,0,0,1,28.15,1377,solo-fpp,0,0,0,310.0,3,0.5319
0,0,0,0,0,0.0,1465,duo-fpp,0,0,0,227.1,2,0.2553
0,4,0,6,1,11.85,1379,duo-fpp,0,0,0,2885.0,5,0.8958
0,1,0,1,1,4.887,1814,solo,0,0,0,1209.0,5,0.9688
0,4,0,5,2,17.0,1920,duo-fpp,0,0,0,2102.0,8,0.8696
0,0,0,0,0,0.0,1877,squad,0,0,0,5.934,0,0.0
0,0,0,0,0,0.0,1794,squad-fpp,0,0,0,76.29,0,0.0
0,2,0,4,6,102.0,1389,squad-fpp,2,0,0,2603.0,3,0.9643
0,0,0,0,0,0.0,1959,duo-fpp,0,0,0,787.6,3,0.4286
1,0,0,0,0,0.0,1436,duo-fpp,0,0,0,227.6,3,0.2553
0,1,1,1,1,187.0,1375,squad-fpp,0,0,0,2603.0,4,0.8571
0,0,0,0,0,0.0,1934,squad,1,1,0,4626.0,6,0.8966
0,0,0,0,0,0.0,1347,duo-fpp,0,0,0,350.5,2,0.3043
0,0,2,1,4,27.28,1369,duo-fpp,0,0,0,387.8,2,0.4694
0,0,0,0,0,0.0,1842,duo,1,0,0,251.1,2,0.3125
0,4,1,3,4,89.84,1380,squad-fpp,0,0,0,2615.0,5,0.9259
0,0,0,0,0,0.0,1515,solo,0,0,0,169.0,1,0.2577
0,3,0,11,1,21.34,1898,solo-fpp,0,0,0,3254.0,6,0.8788
0,2,0,1,2,89.41,1420,squad-fpp,0,1,0,1044.0,4,0.4783
0,3,1,2,3,83.4,1352,duo-fpp,0,0,0,1581.0,2,0.75
0,1,0,0,0,0.0,1944,duo,0,0,0,814.2,3,0.3913
0,2,0,1,0,0.0,1817,squad-fpp,0,0,0,1035.0,8,0.5517
0,0,0,0,0,0.0,1380,duo-fpp,0,0,0,42.81,1,0.2889
1,7,1,5,6,88.02,1939,duo-fpp,0,0,0,1887.0,5,0.9783
0,0,0,0,2,58.87,1774,duo-fpp,0,0,0,48.87,2,0.1667
0,0,0,0,0,0.0,1538,duo-fpp,0,0,0,0.0,1,0.0208
0,0,0,0,0,0.0,1503,solo-fpp,0,0,0,54.31,4,0.1319
0,0,0,0,0,0.0,1303,solo-fpp,0,0,0,2191.0,10,0.8646
1,0,0,0,0,0.0,1381,squad-fpp,0,0,0,18.66,1,0.28
0,0,0,0,1,7.668,1311,solo-fpp,0,0,0,221.6,5,0.3804
0,1,0,3,0,0.0,1950,squad,0,0,0,695.6,5,0.3333
0,0,0,2,0,0.0,1329,squad,0,0,0,2336.0,7,0.4815
0,0,0,0,0,0.0,1813,solo-fpp,0,0,0,475.1,6,0.3871
0,0,0,0,1,1.259,1366,squad-fpp,0,0,0,240.7,2,0.25
0,0,0,0,0,0.0,1396,squad-fpp,0,0,0,759.4,4,0.3846
0,1,0,1,0,0.0,1903,duo,0,0,0,3944.0,5,0.7347
0,0,0,0,0,0.0,1294,squad-fpp,0,0,0,379.8,2,0.0667
0,1,1,0,4,108.8,1367,duo-fpp,0,0,0,949.2,6,0.6458
0,0,0,0,0,0.0,1381,solo-fpp,0,0,0,18.09,0,0.0102
0,0,0,0,0,0.0,1797,squad-fpp,0,0,0,147.7,2,0.24
0,0,0,0,0,0.0,1363,duo-fpp,0,0,0,420.6,2,0.383
0,3,0,7,0,0.0,1802,squad,0,0,0,1380.0,8,0.4483
0,0,0,0,0,0.0,1305,squad-fpp,0,0,0,24.42,1,0.0
0,0,0,0,0,0.0,1982,solo-fpp,0,0,0,430.8,7,0.1957
0,2,1,1,1,29.64,1338,solo-fpp,0,0,0,314.6,4,0.4742
0,5,0,2,1,26.57,1791,squad,1,0,0,1191.0,4,0.4444
0,1,0,0,0,0.0,1808,solo-fpp,0,0,0,2423.0,3,0.6458
0,0,0,0,0,0.0,1414,squad-fpp,1,0,0,799.7,2,0.25
0,2,0,0,1,49.36,1316,duo-fpp,0,0,0,1749.0,3,0.6596
0,1,1,0,2,99.02,1363,squad,0,0,0,1178.0,2,0.3571
0,0,0,0,0,0.0,1344,squad-fpp,0,0,0,1763.0,4,0.5
0,0,0,1,0,0.0,1401,duo-fpp,1,0,0,201.1,3,0.2449
0,0,0,0,0,0.0,1991,squad-fpp,0,0,0,465.6,1,0.4138
0,0,0,0,0,0.0,1802,solo-fpp,0,0,0,239.3,2,0.3158
0,1,0,0,0,0.0,1961,duo,0,0,0,1102.0,4,0.4565
0,0,0,0,0,0.0,1917,solo-fpp,0,0,0,0.0,0,0.2043
0,0,0,0,0,0.0,1802,duo-fpp,0,0,0,218.4,4,0.7447
0,1,0,0,0,0.0,1860,duo,0,0,0,4127.0,3,0.8367
0,1,0,5,0,0.0,1611,squad,5,1,0,1079.0,5,0.6154
0,0,0,0,2,31.17,1370,squad-fpp,0,0,0,320.9,1,0.2593
0,6,1,9,4,81.79,1806,squad-fpp,0,0,0,2231.0,9,0.9231
0,1,0,1,1,54.28,1380,squad,0,0,0,2732.0,5,0.8966
0,4,0,1,1,3.632,1518,solo,0,0,0,1813.0,5,0.701
2,3,0,2,0,0.0,1386,squad-fpp,0,1,0,2879.0,6,0.8571
0,1,0,1,1,4.43,1419,squad-fpp,0,0,0,370.6,2,0.3571
0,0,0,0,0,0.0,1780,squad,0,0,0,3132.0,3,0.5
0,1,0,0,0,0.0,1881,duo,0,0,0,1339.0,8,0.6596
0,0,0,0,3,32.45,1907,squad-fpp,0,0,0,384.2,1,0.1481
0,0,0,0,2,162.1,1350,duo,0,0,0,555.2,5,0.8478
0,1,0,0,0,0.0,1389,duo-fpp,0,0,0,335.2,2,0.3125
0,0,0,0,1,48.99,1851,solo-fpp,0,0,0,285.5,2,0.2688
0,0,1,0,2,30.64,1329,squad-fpp,0,0,0,133.0,2,0.1667
0,0,0,0,0,0.0,1345,squad,0,0,0,7.809,1,0.0345
0,0,0,0,2,8.407,1682,duo-fpp,0,0,0,272.1,3,0.3191
0,1,1,0,2,117.9,1747,squad-fpp,4,0,0,3271.0,5,0.7931
0,0,0,0,0,0.0,1258,solo-fpp,0,0,0,0.0,1,0.0
0,0,0,0,0,0.0,1346,duo-fpp,0,0,0,26.96,2,0.0612
0,2,0,5,0,0.0,1228,normal-squad-fpp,0,0,0,196.3,3,0.125
0,4,1,0,4,101.2,1917,duo,0,0,0,3849.0,6,0.8163
1,2,1,6,4,182.8,1744,squad-fpp,1,0,0,2922.0,4,0.8148
0,0,0,0,1,25.27,1425,duo-fpp,0,0,0,1322.0,8,0.6875
0,0,0,0,0,0.0,1384,squad-fpp,0,0,0,1401.0,5,0.44
1,2,1,4,3,73.89,1389,duo-fpp,0,0,0,2898.0,4,0.875
1,2,1,15,1,163.9,1881,duo-fpp,0,0,0,2376.0,8,0.8222
1,1,0,0,1,39.71,1387,squad,0,0,0,540.4,3,0.48
0,0,0,0,0,0.0,1512,solo-fpp,0,0,0,19.73,1,0.1327
4,2,0,2,1,20.0,1359,squad-fpp,0,0,0,2370.0,4,0.88
0,0,0,0,0,0.0,1973,duo,0,0,0,167.9,0,0.0213
0,0,0,1,0,0.0,1357,squad-fpp,0,0,0,3150.0,6,0.9
0,2,0,0,0,0.0,1342,squad-fpp,0,0,0,190.4,3,0.2593
0,0,1,0,3,19.86,1383,squad-fpp,0,0,0,67.42,1,0.1379
0,2,0,4,0,0.0,1205,squad-fpp,1,0,0,440.3,3,0.5172
0,0,0,0,0,0.0,1375,duo,0,0,0,218.2,1,0.1702
1,1,0,2,1,6.635,1455,squad-fpp,0,0,0,1377.0,3,0.6667
1,2,0,3,0,0.0,1892,duo-fpp,1,0,0,1155.0,2,0.6531
0,0,0,0,0,0.0,1366,duo-fpp,0,0,0,250.9,5,0.2667
0,1,0,0,1,13.15,1324,squad-fpp,0,0,0,2458.0,2,0.5417
0,0,0,0,1,56.03,1336,squad-fpp,2,0,0,1495.0,5,0.4815
0,0,0,0,0,0.0,1863,squad-fpp,0,0,0,582.1,3,0.1852
0,5,0,3,0,0.0,1823,duo-fpp,0,0,0,2148.0,5,0.9783
1,0,0,0,1,5.96,1795,squad,0,0,0,282.6,3,0.12
0,2,0,5,0,0.0,1956,solo,0,0,0,1608.0,4,0.8632
0,0,0,1,0,0.0,1405,duo,0,0,0,467.5,5,0.4091
0,0,0,0,0,0.0,1815,squad-fpp,0,0,0,893.4,4,0.3571
1,0,0,0,0,0.0,1935,duo,0,0,0,209.1,3,0.25
1,6,0,4,2,13.15,1371,squad-fpp,0,0,0,3001.0,7,0.8077
0,0,0,2,3,5.335,1266,squad-fpp,0,0,0,300.6,4,0.6429
1,3,0,14,0,0.0,1768,squad-fpp,0,0,0,1669.0,5,0.8148
0,6,0,2,0,0.0,1374,squad-fpp,0,0,0,2578.0,3,0.8214
1,1,1,0,2,65.31,1799,squad,0,0,0,1197.0,3,0.2593
0,1,0,0,1,13.12,1298,squad-fpp,0,0,0,1148.0,5,0.5333
0,0,0,0,0,0.0,1859,squad-fpp,0,0,0,1815.0,5,0.5
0,0,0,0,0,0.0,1809,duo-fpp,0,0,0,65.88,1,0.0454
0,0,0,0,0,0.0,1321,squad-fpp,0,0,0,6.439,1,0.1071
2,3,1,2,8,110.8,1344,duo-fpp,3,0,0,3113.0,6,0.9556
4,3,4,8,5,186.0,1377,duo,0,0,0,2454.0,3,1.0
0,0,0,0,0,0.0,1401,duo,0,0,0,73.85,1,0.0
0,0,0,0,0,0.0,1876,duo-fpp,0,0,0,2230.0,2,0.5217
0,0,0,0,0,0.0,1488,squad,0,0,0,224.9,3,0.4815
0,0,0,0,0,0.0,1748,duo-fpp,0,0,0,164.6,0,0.3404
0,0,0,1,1,7.544,1891,squad-fpp,2,0,0,2553.0,5,0.5185
1,1,0,1,1,163.5,1845,squad-fpp,0,0,0,1731.0,3,0.9259
1,1,0,1,0,0.0,1910,squad,0,0,0,1797.0,3,0.32
0,0,0,0,0,0.0,1370,squad-fpp,0,0,0,510.2,3,0.25
1,10,0,13,3,126.0,1874,duo-fpp,0,0,0,9819.0,4,1.0
0,2,1,3,2,14.46,1401,squad-fpp,0,0,0,1814.0,5,0.3704
0,1,0,2,4,39.26,1403,solo-fpp,0,0,0,376.4,2,0.5684
1,1,0,1,0,0.0,1833,squad-fpp,1,0,0,3247.0,5,0.6897
0,3,2,1,2,29.16,1970,squad,1,0,0,1916.0,8,0.5
0,0,0,0,0,0.0,1867,duo-fpp,0,0,0,218.6,3,0.2667
0,2,0,1,0,0.0,1786,duo-fpp,0,0,0,2838.0,4,0.6522
0,0,0,1,0,0.0,1761,squad-fpp,0,0,0,501.2,4,0.2963
0,7,0,0,0,0.0,1454,squad,0,0,0,3983.0,4,1.0
0,1,0,9,0,0.0,1298,squad-fpp,0,0,0,2195.0,6,0.6071
0,0,0,0,0,0.0,1333,squad-fpp,0,0,0,77.09,1,0.1429
0,0,0,0,0,0.0,1771,solo,0,0,0,347.9,2,0.1789
0,2,0,0,0,0.0,1748,squad,1,0,0,3757.0,3,1.0
0,0,0,0,0,0.0,1357,squad-fpp,0,0,0,67.92,2,0.0
0,1,0,3,1,18.61,1383,squad-fpp,1,0,0,1438.0,6,0.6667
0,0,0,0,1,1.523,1366,squad-fpp,0,0,0,84.3,1,0.1111
0,1,0,0,0,0.0,1368,solo-fpp,0,0,0,234.0,3,0.5
0,0,0,1,0,0.0,1850,duo-fpp,0,0,0,374.9,4,0.2609
0,3,0,3,3,127.1,1334,squad-fpp,1,0,0,2965.0,9,0.9259
0,0,1,0,1,8.701,1859,solo,0,0,0,659.8,3,0.8229
0,0,0,0,0,0.0,1338,squad-fpp,0,0,0,147.9,2,0.1852
0,0,1,5,3,22.64,1359,duo-fpp,0,0,0,178.9,2,0.3043
0,0,0,0,0,0.0,1874,duo-fpp,0,0,0,3828.0,6,0.7143
0,0,0,0,0,0.0,1475,squad,0,0,0,680.5,3,0.8846
0,0,0,0,0,0.0,1983,duo-fpp,0,0,0,883.0,4,0.8222
0,0,0,0,0,0.0,1362,squad-fpp,0,0,0,425.1,3,0.8148
0,1,0,1,0,0.0,1377,squad-fpp,0,0,0,1126.0,2,0.6296
0,0,0,0,1,10.78,1394,squad-fpp,0,0,0,272.4,2,0.1071
0,5,0,3,3,8.483,1955,duo,0,0,0,1478.0,9,0.9792
2,4,4,2,9,93.65,1402,duo,1,0,0,3184.0,5,1.0
0,1,0,2,0,0.0,1374,squad-fpp,0,0,0,155.1,2,0.2308
0,1,0,2,1,7.339,1766,solo-fpp,0,0,0,629.0,4,0.375
0,0,0,0,0,0.0,1360,squad-fpp,0,0,0,17.77,0,0.1786
0,0,0,0,1,26.14,1464,squad,0,0,0,132.6,3,0.1154
0,2,0,1,0,0.0,1404,squad-fpp,0,0,0,2396.0,5,0.6296
0,1,0,1,1,15.05,1383,duo-fpp,0,0,0,203.7,3,0.4375
0,0,0,0,0,0.0,1395,squad-fpp,0,0,0,32.47,1,0.3929
0,1,0,0,0,0.0,1405,squad-fpp,1,0,0,362.3,3,0.4667
0,0,0,0,1,13.28,1877,squad-fpp,0,0,0,433.5,8,0.7931
0,0,0,0,0,0.0,1523,duo-fpp,0,0,0,194.5,3,0.4468
0,0,0,0,2,5.386,1507,squad,0,0,0,86.89,2,0.1111
0,0,0,0,0,0.0,1434,squad,0,0,0,117.1,2,0.1724
2,2,0,1,0,0.0,1352,squad-fpp,0,0,0,3112.0,3,1.0
0,0,0,0,0,0.0,1874,solo-fpp,0,0,0,155.3,0,0.1579
1,1,0,2,1,53.33,1384,duo-fpp,0,0,0,1279.0,4,0.7174
0,1,1,2,2,95.45,1315,squad-fpp,1,0,0,2984.0,5,0.9231
1,0,0,0,0,0.0,1373,squad,0,0,0,136.2,1,0.4074
0,0,0,0,0,0.0,1378,squad,0,0,0,21.25,2,0.3333
0,1,1,2,1,30.38,1967,solo-fpp,0,0,0,1285.0,7,0.6596
0,0,0,0,0,0.0,1298,squad-fpp,2,0,0,927.1,5,0.4444
0,7,0,10,2,36.84,1971,duo-fpp,0,0,0,1510.0,7,0.8043
0,0,0,0,0,0.0,1776,squad-fpp,0,0,0,44.41,3,0.0769
0,0,0,0,0,0.0,1823,squad-fpp,0,0,0,2155.0,5,0.92
1,0,0,0,0,0.0,1303,squad-fpp,0,0,0,2169.0,5,0.7931
0,2,2,0,4,17.16,1430,solo,0,0,0,636.3,7,0.7065
0,3,0,1,0,0.0,1335,duo-fpp,0,0,0,2042.0,5,0.9348
1,0,2,8,3,81.3,1197,normal-squad-fpp,0,0,0,4494.0,9,0.4
0,0,0,0,1,68.76,1884,duo,0,0,0,3072.0,7,0.7708
0,0,0,0,0,0.0,1773,duo-fpp,0,0,0,7.48,0,0.3125
0,1,0,0,0,0.0,1926,squad,0,0,0,937.7,4,0.5926
0,0,0,1,0,0.0,1832,duo-fpp,0,0,0,1481.0,7,0.5652
0,1,0,5,0,0.0,1909,solo-fpp,0,0,0,3084.0,6,0.828
0,1,0,6,2,32.63,1396,solo-fpp,0,0,0,1081.0,3,0.5957
0,1,0,1,1,31.92,1811,duo,0,0,0,1387.0,3,0.3111
0,0,0,0,0,0.0,1333,squad-fpp,0,0,0,125.0,1,0.1724
0,0,0,0,0,0.0,1912,solo,0,0,0,109.7,1,0.0421
0,2,0,0,2,117.1,1794,squad-fpp,0,0,0,2650.0,9,0.9333
0,7,3,11,7,95.29,1778,squad-fpp,0,0,0,2562.0,6,0.9643
0,0,0,0,0,0.0,1292,squad-fpp,0,0,0,1832.0,3,0.7241
0,2,0,0,0,0.0,1292,duo-fpp,0,0,0,1921.0,2,0.7021
0,0,0,0,1,10.36,1797,squad-fpp,0,0,0,283.3,4,0.36
0,1,0,2,0,0.0,1876,squad-fpp,0,0,0,3109.0,4,0.75
0,0,1,1,3,246.5,1891,duo-fpp,1,0,0,2476.0,6,0.9167
0,7,1,11,3,40.3,1777,duo-fpp,0,0,0,1449.0,6,0.7234
0,0,0,0,0,0.0,1497,duo,0,0,0,1359.0,7,0.5319
1,1,0,0,1,292.3,1306,squad-fpp,0,0,0,2452.0,4,0.8148
0,2,0,2,4,56.18,1301,squad-fpp,1,0,0,2161.0,5,0.7407
0,1,0,1,2,5.964,1176,squad-fpp,0,0,0,565.3,3,0.7143
0,2,0,1,1,5.554,1825,solo-fpp,0,0,0,1875.0,8,0.8438
0,0,0,1,3,34.13,1441,solo-fpp,0,0,0,157.4,5,0.5217
0,0,0,0,0,0.0,1324,squad-fpp,0,0,0,24.29,1,0.0
0,0,0,0,0,0.0,1947,squad,0,0,0,1673.0,11,0.6154
0,2,0,1,0,0.0,1696,squad-fpp,0,0,0,2233.0,8,0.9286
0,2,0,1,1,22.63,1396,squad-fpp,0,0,0,2235.0,4,0.8125
0,3,0,4,0,0.0,1772,squad-fpp,0,0,0,3667.0,7,0.7931
0,0,0,0,0,0.0,1294,squad-fpp,0,0,0,118.2,2,0.1111
0,1,0,0,0,0.0,1764,squad-fpp,0,0,0,178.7,3,0.2069
0,0,0,0,0,0.0,1358,solo-fpp,0,0,0,917.2,6,0.617
0,1,1,1,2,26.99,1376,squad,2,0,0,1690.0,3,0.8889
0,0,0,0,0,0.0,1404,squad-fpp,0,0,0,96.49,1,0.1212
2,1,1,0,1,5.283,1975,duo,1,0,0,1250.0,3,0.4286
0,5,2,5,3,19.56,1389,squad-fpp,0,0,0,3585.0,5,0.963
0,1,0,1,2,27.47,1430,solo-fpp,0,0,0,240.6,2,0.3804
0,2,1,5,1,12.57,2179,solo,0,0,0,674.6,5,0.4086
0,0,0,0,1,1.014,1975,duo-fpp,0,0,0,7.217,1,0.0208
0,0,0,0,0,0.0,1443,duo-fpp,0,0,0,142.8,1,0.1042
2,6,1,8,6,153.7,1439,duo-fpp,3,0,0,2613.0,8,0.9574
1,5,0,3,2,164.1,1268,squad-fpp,2,0,0,3057.0,5,0.9259
0,0,1,0,1,1.123,1844,solo,0,0,0,214.4,2,0.2442
0,6,1,5,2,27.83,1432,squad-fpp,0,0,0,2891.0,5,0.8276
0,0,0,0,0,0.0,1895,duo-fpp,0,0,0,17.89,0,0.0
0,0,1,0,2,21.96,1204,duo-fpp,0,0,0,279.1,1,0.2727
0,2,0,2,0,0.0,1275,squad-fpp,1,0,0,2901.0,6,0.96
1,0,0,2,0,0.0,1343,squad-fpp,0,0,0,2583.0,5,0.9231
1,6,0,0,1,5.525,1372,solo-fpp,0,0,0,2688.0,5,0.7912
0,0,0,0,1,7.331,1387,solo-fpp,0,0,0,138.3,3,0.2784
1,0,0,0,0,0.0,1338,squad-fpp,0,0,0,2494.0,6,0.72
0,1,0,1,0,0.0,1889,squad,0,0,0,828.0,4,0.2
1,0,0,0,0,0.0,1372,squad,0,0,0,271.6,4,0.2308
0,0,1,0,1,6.797,1367,duo-fpp,0,0,0,42.63,3,0.2857
0,0,0,0,0,0.0,1279,squad-fpp,0,0,0,103.1,2,0.0357
1,2,1,10,1,146.1,1938,duo,0,0,0,4483.0,4,0.913
0,0,0,1,1,111.6,1886,duo-fpp,0,0,0,1555.0,3,0.4583
0,4,0,7,3,59.82,1389,duo-fpp,1,0,0,1421.0,3,1.0
0,1,1,1,1,31.17,1899,duo,0,0,0,502.8,2,0.2222
1,4,0,18,0,0.0,1842,duo-fpp,0,0,0,670.2,6,0.8043
0,1,2,5,2,52.9,1295,squad-fpp,0,0,0,1886.0,4,0.7308
0,0,0,0,0,0.0,1371,squad-fpp,0,0,0,40.28,1,0.1724
0,0,0,0,0,0.0,1366,duo-fpp,0,0,0,12.81,0,0.3191
0,0,0,2,1,34.74,1310,squad-fpp,0,0,0,1723.0,4,0.5385
0,0,0,0,0,0.0,1329,squad-fpp,0,0,0,1980.0,3,0.5926
0,0,0,0,0,0.0,1352,duo-fpp,0,0,0,0.28,0,0.1837
0,0,0,0,0,0.0,1358,squad-fpp,0,0,0,285.5,5,0.2174
1,1,0,2,0,0.0,1783,duo-fpp,0,0,0,1362.0,5,0.5532
0,1,0,1,0,0.0,1302,squad-fpp,0,0,0,1350.0,2,0.5652
